num_of_files,total_lines,mod_lines,label,insertions,deletions
50,151,3166,non-bug,579,1005
4,73,24,non-bug,1,5
4,150,89,non-bug,30,21
9,116,295,non-bug,119,110
1,106,6,non-bug,3,3
20,42,1598,non-bug,485,648
2,0,57,bug,53,4
22,193,1267,non-bug,189,272
60,151,2744,non-bug,301,351
29,383,1184,non-bug,233,288
4,107,7,non-bug,1,0
91,748,4100,non-bug,139,246
1,0,2,non-bug,1,1
36,123,2078,non-bug,295,268
28,115,2166,non-bug,498,317
26,379,2218,non-bug,318,594
2,107,66,non-bug,1,1
24,183,1668,non-bug,176,245
32,109,2248,non-bug,218,435
1,137,1,non-bug,0,1
11,172,26,non-bug,13,13
61,168,4099,non-bug,467,298
6,122,918,non-bug,453,0
9,303,101,non-bug,17,4
6,115,88,non-bug,4,4
4,302,24,non-bug,18,6
10,24,65,non-bug,40,25
1,2920,3,non-bug,1,2
18,300,4178,non-bug,2576,2
35,271,2907,non-bug,121,180
1,131,8,non-bug,4,4
3,118,35,non-bug,3,0
9,234,237,non-bug,61,92
3,133,269,non-bug,158,1
3,0,10,non-bug,0,0
2,406,74,non-bug,18,2
7,120,353,non-bug,56,12
1,91,2,non-bug,1,1
1,0,6,non-bug,0,0
2,2847,4,non-bug,2,2
170,66,2520,bug,1398,1045
13,342,615,non-bug,227,164
6,73,256,non-bug,77,29
11,158,913,non-bug,656,208
11,82,21,non-bug,4,11
14,305,324,non-bug,186,49
1,0,2,non-bug,0,0
9,71,181,non-bug,31,38
8,195,745,non-bug,130,75
4,364,37,non-bug,4,3
1,67,2,non-bug,1,1
6,62,14,non-bug,8,6
4,205,61,non-bug,32,27
9,151,580,non-bug,561,19
14,110,1909,non-bug,1179,709
43,981,4749,non-bug,222,276
91,116,3985,non-bug,585,406
24,1010,3437,non-bug,1965,235
57,177,3253,non-bug,744,798
57,177,3253,non-bug,744,798
2,278,141,non-bug,7,4
2,278,129,non-bug,5,3
2,276,138,non-bug,3,2
56,908,3471,non-bug,198,131
85,996,3833,non-bug,134,116
1,0,2,non-bug,1,1
11,295,1188,non-bug,186,158
60,995,3641,non-bug,196,171
1,0,2,non-bug,1,1
1,53,2,non-bug,1,1
111,961,3633,non-bug,1731,1801
49,351,2381,non-bug,872,816
1,0,1,non-bug,1,0
129,942,5499,bug,2561,1249
201,21,3536,bug,2148,432
23,226,2220,non-bug,1202,411
2,13118,10,non-bug,5,5
2,3212,32,non-bug,16,16
4,81,10,non-bug,6,0
3,49,13,non-bug,8,5
3,325,75,non-bug,25,19
1,3394,2,non-bug,1,1
202,940,5082,non-bug,1739,2255
26,534,2599,non-bug,650,203
46,522,3903,non-bug,942,433
22,936,2290,non-bug,866,159
42,907,1856,non-bug,881,2
58,61,1575,non-bug,1257,297
2,436,62,non-bug,7,5
6,863,578,non-bug,422,98
143,852,4851,bug,3179,1217
5,0,14,non-bug,0,0
105,773,1077,bug,510,550
56,443,418,bug,178,240
65,58,3409,bug,2387,1022
128,196,4884,non-bug,2589,2283
36,365,509,bug,292,217
1032,116,269345,bug,49226,49305
1,0,15,non-bug,0,0
1,0,15,non-bug,0,0
650,116,40379,non-bug,13376,6931
650,116,40379,bug,13376,6931
1,351,2,non-bug,1,1
3,115,37,non-bug,3,2
1,351,2,non-bug,1,1
3,115,37,non-bug,3,2
249,663,58666,bug,24937,446
3,84,56,non-bug,47,9
18,195,451,non-bug,210,241
15,228,2128,non-bug,1226,181
15,228,2128,non-bug,1226,181
14,1084,3766,non-bug,94,15
1,0,19,non-bug,0,0
13,1084,3747,non-bug,94,15
16,705,1238,non-bug,237,45
7,236,1185,non-bug,96,91
7,236,1185,non-bug,96,91
12,249,1918,non-bug,13,8
12,249,1918,non-bug,13,8
4,408,1299,non-bug,114,73
4,408,1299,non-bug,114,73
13,246,939,non-bug,17,11
13,246,939,non-bug,17,11
3,175,806,non-bug,1,0
3,175,806,non-bug,1,0
5,282,798,non-bug,21,7
5,282,798,non-bug,21,7
8,111,1465,non-bug,146,16
15,198,837,non-bug,71,28
15,198,837,non-bug,71,28
7,70,1100,non-bug,37,17
7,70,1100,non-bug,37,17
7,125,477,non-bug,16,14
7,125,477,non-bug,16,14
6,336,832,non-bug,26,6
11,391,814,non-bug,46,25
5,34,1581,non-bug,80,27
5,34,1581,non-bug,80,27
19,93,3164,non-bug,258,15
4,242,480,non-bug,50,38
4,242,480,non-bug,50,38
8,52,103,non-bug,2,10
7,149,590,non-bug,117,25
7,149,590,non-bug,117,25
6,51,821,non-bug,43,17
6,51,821,non-bug,43,17
5,123,608,non-bug,13,8
5,123,608,non-bug,13,8
7,351,912,non-bug,25,19
7,351,912,non-bug,25,19
7,133,716,non-bug,16,15
4,207,59,non-bug,26,33
16,705,1211,non-bug,121,71
3,125,28,non-bug,1,1
13,705,1183,non-bug,120,70
4,381,292,non-bug,30,12
4,381,292,non-bug,30,12
3,697,46,non-bug,13,2
3,697,33,non-bug,13,2
14,697,984,non-bug,227,78
14,697,984,non-bug,227,78
2,418,124,non-bug,118,6
1,316,199,non-bug,128,71
1,316,199,non-bug,128,71
4,353,1124,bug,1124,0
2,1010,396,non-bug,279,117
2,1010,396,non-bug,279,117
8,222,3726,non-bug,2387,1339
8,222,3726,non-bug,2387,1339
4,197,440,non-bug,363,77
4,197,440,non-bug,363,77
5,697,469,non-bug,348,0
5,697,469,non-bug,348,0
5,250,984,bug,973,11
3,310,271,bug,270,1
9,167,1187,non-bug,1054,133
9,167,1187,non-bug,1054,133
3,636,990,bug,990,0
8,362,1029,bug,1029,0
6,61,291,non-bug,266,25
6,61,291,non-bug,266,25
2,1756,565,bug,533,32
4,192,304,bug,304,0
2,259,281,bug,281,0
8,46,483,bug,432,51
3,349,59,bug,54,5
3,245,573,bug,573,0
4,133,300,non-bug,277,23
4,133,300,non-bug,277,23
2,640,77,non-bug,12,0
9,383,684,bug,684,0
4,128,556,bug,556,0
5,189,366,non-bug,365,1
5,189,366,non-bug,365,1
4,117,491,bug,484,7
12,162,1087,bug,918,27
6,132,498,non-bug,490,8
6,132,498,non-bug,490,8
16,61,719,non-bug,708,11
16,61,719,non-bug,708,11
10,135,2025,bug,2019,6
3,291,170,non-bug,53,97
10,506,1644,non-bug,80,108
2,168,35,non-bug,16,4
1,83,4,non-bug,1,3
1,83,4,non-bug,1,3
3,139,159,non-bug,67,51
3,139,159,non-bug,67,51
