num_of_files,total_lines,mod_lines,label,insertions,deletions
1,50,22,non-bug,11,11
2,50,80,bug,75,5
15,0,430,non-bug,159,268
1,97,2,non-bug,1,1
1,97,2,non-bug,1,1
4,72,675,bug,74,3
5,117,519,bug,286,28
2,120,108,non-bug,13,3
2,120,86,non-bug,13,3
1,0,2,non-bug,1,1
2,8497,6,non-bug,5,1
5,0,203,non-bug,21,10
5,0,203,non-bug,21,10
2,286,8,non-bug,4,3
1,92,8,non-bug,4,4
4,241,42,non-bug,21,21
1,0,12,non-bug,0,0
1,0,61,non-bug,0,0
6,0,141,non-bug,0,0
1,0,5,non-bug,0,0
3,168,61,non-bug,15,4
2,131,60,non-bug,25,24
1,256,20,non-bug,11,9
16,436,103,non-bug,36,67
4,0,94,non-bug,40,47
6,254,106,bug,59,47
7,74,70,bug,25,15
1,440,101,non-bug,40,61
1,446,99,non-bug,42,57
2,173,28,non-bug,8,1
2,0,7,non-bug,3,4
1,0,4,non-bug,2,2
2,146,58,non-bug,3,3
2,146,78,non-bug,25,3
28,77,1074,bug,295,452
3,48,27,non-bug,13,7
2,461,88,non-bug,26,17
2,461,88,non-bug,26,17
1,8841,11605,bug,5801,5804
186,412,10073,bug,3714,2528
2,174,88,non-bug,25,16
2,164,56,non-bug,4,5
1,0,37,non-bug,0,0
1,0,37,non-bug,0,0
5,0,96,non-bug,75,13
5,0,96,non-bug,75,13
15,172,2496,non-bug,261,61
1,0,4,non-bug,0,0
1,163,10,non-bug,5,5
1,163,76,non-bug,52,24
5,135,306,non-bug,46,10
4,172,230,non-bug,131,22
1,164,46,non-bug,36,10
1,0,84,non-bug,0,0
1,258,2,non-bug,1,1
2,0,850,non-bug,172,205
2,0,855,non-bug,165,217
7,7403,79,non-bug,49,22
7,7403,79,non-bug,49,22
2,147,279,non-bug,50,32
2,147,279,non-bug,50,32
1,243,8,non-bug,4,4
3,253,64,non-bug,8,6
2,83,24,non-bug,2,9
9,104,445,non-bug,152,23
5,77,166,non-bug,70,44
12,96,1392,non-bug,320,269
3,253,64,non-bug,8,6
13,252,1906,non-bug,633,365
1,252,12,non-bug,3,9
5,274,141,bug,109,32
6,215,388,bug,142,96
12,187,1644,bug,542,367
2,0,4,non-bug,0,0
9,96,1215,bug,251,269
4,426,203,non-bug,82,17
3,242,818,bug,365,0
2,83,24,non-bug,2,9
1,0,30,non-bug,0,0
3,373,127,non-bug,26,99
1,349,2,non-bug,1,1
9,104,518,non-bug,225,23
2,6870,27,non-bug,0,10
3,131,240,non-bug,41,37
3,131,240,non-bug,41,37
2,0,840,non-bug,150,217
1,349,18,non-bug,16,2
2,176,98,non-bug,3,0
1,176,3,non-bug,3,0
3,400,102,non-bug,67,11
7,0,177,non-bug,104,59
3,400,102,non-bug,67,11
8,81,489,bug,191,118
30,957,8908,non-bug,2743,2743
2,171,74,non-bug,23,7
2,128,171,non-bug,45,52
2,171,74,non-bug,23,7
1,0,8,non-bug,0,0
1,0,2,non-bug,1,1
1,0,22,non-bug,11,11
2,6233,32,non-bug,3,0
16,0,62,non-bug,22,20
1,42,42,bug,42,0
1,0,2,non-bug,1,1
2,128,171,non-bug,45,52
2,66,31,non-bug,10,1
23,0,625,non-bug,330,231
1,6146,6,non-bug,3,3
2,531,126,non-bug,4,1
1,159,127,non-bug,123,4
2,121,8,non-bug,1,5
1,0,121,non-bug,0,0
3,0,64,non-bug,2,0
9,0,86,non-bug,37,47
1,531,5,non-bug,4,1
1,0,15,non-bug,7,8
2,0,10,non-bug,6,4
5,0,22,non-bug,15,5
10,0,40,non-bug,25,15
1,0,10,non-bug,5,5
3,125,297,bug,140,0
1,0,3,non-bug,1,2
1,159,127,non-bug,123,4
1,0,9,non-bug,0,0
6,84,677,non-bug,253,198
6,84,640,non-bug,253,198
2,85,11,non-bug,0,1
2,85,11,non-bug,0,1
1,0,2,non-bug,1,1
2,528,542,non-bug,304,131
2,528,116,non-bug,9,0
3,277,610,bug,299,1
4,135,150,non-bug,53,11
4,135,150,non-bug,53,11
1,519,426,bug,295,131
2,177,271,non-bug,89,32
2,177,271,non-bug,89,32
2,5188,125,non-bug,35,10
3,105,26,non-bug,13,5
3,105,26,non-bug,13,5
2,117,98,non-bug,28,0
2,120,56,non-bug,6,3
2,4819,35,non-bug,8,1
2,4819,35,non-bug,8,1
1,0,16,non-bug,0,0
1,0,16,non-bug,0,0
3,136,117,non-bug,18,11
3,136,117,non-bug,18,11
1,0,2,non-bug,0,0
2,357,12,non-bug,2,5
4,0,166,non-bug,0,0
1,457,318,non-bug,215,103
1,413,60,non-bug,48,12
1,143,22,non-bug,20,2
1,143,22,non-bug,20,2
1,352,9,non-bug,8,1
1,413,60,non-bug,48,12
1,385,76,non-bug,72,4
1,537,50,non-bug,29,21
1,529,204,non-bug,164,40
1,385,76,non-bug,72,4
3,722,184,non-bug,136,26
1,722,80,non-bug,76,4
2,698,43,non-bug,42,1
1,0,2,non-bug,1,1
1,4555,63,non-bug,57,6
1,0,2,non-bug,1,1
4,62,347,bug,217,55
1,298,50,bug,5,45
2,698,43,non-bug,42,1
1,221,100,non-bug,88,12
1,0,2,non-bug,0,0
1,221,106,non-bug,74,32
1,179,34,non-bug,34,0
3,86,75,non-bug,38,37
3,86,75,non-bug,38,37
10,43,777,bug,776,1
13,125,644,non-bug,412,93
8,125,464,non-bug,262,84
8,298,90,non-bug,24,59
1,225,7,non-bug,3,4
2,600,65,non-bug,22,43
2,0,8,non-bug,6,2
2,926,65,non-bug,34,31
14,145,1687,non-bug,1266,114
3,165,237,bug,237,0
2,2482,99,non-bug,20,40
2,2482,99,non-bug,20,40
2,0,955,non-bug,1,482
2,0,955,non-bug,1,482
19,926,522,non-bug,197,325
1,0,3,non-bug,1,2
5,226,84,non-bug,29,45
1,0,10,non-bug,0,0
1,379,16,non-bug,7,9
1,226,29,non-bug,13,16
4,0,114,non-bug,106,8
1,0,10,non-bug,4,6
29,10,3402,non-bug,699,2095
1,0,28,non-bug,0,0
1,694,371,non-bug,183,188
1,295,43,non-bug,38,5
1,231,62,non-bug,54,8
1,231,58,non-bug,52,6
1,0,3,non-bug,2,1
3,561,571,non-bug,482,62
1,543,217,non-bug,208,9
1,531,199,non-bug,193,6
1,0,4,non-bug,0,0
1,95,69,non-bug,43,26
1,95,69,non-bug,43,26
2,78,82,non-bug,37,45
2,78,82,non-bug,37,45
4,106,14,non-bug,7,7
1,4416,2,non-bug,1,1
1,108,2,non-bug,1,1
1,4149,246,non-bug,71,175
22,80,157,non-bug,83,70
1,311,10,non-bug,5,5
1,238,23,non-bug,17,6
5,122,22,non-bug,9,9
5,88,16,non-bug,8,8
11,80,65,non-bug,39,26
1,96,2,non-bug,1,1
1,96,2,non-bug,1,1
1,253,253,bug,253,0
1,56,56,bug,56,0
1,171,16,non-bug,7,9
2,147,23,non-bug,23,0
2,103,55,non-bug,48,2
1,102,1,non-bug,0,0
2,354,57,non-bug,37,20
1,277,68,non-bug,45,23
1,101,79,non-bug,0,0
1,101,79,non-bug,0,0
3,53,133,non-bug,106,27
1,52,10,non-bug,7,3
19,97,907,non-bug,547,185
1,53,10,non-bug,7,3
1,94,5,non-bug,4,1
1,92,3,non-bug,1,2
1,0,10,non-bug,0,0
1,140,8,non-bug,4,4
2,139,79,non-bug,65,9
1,0,31,non-bug,0,0
1,0,2,non-bug,1,1
1,644,11,non-bug,11,0
1,3833,119,non-bug,110,9
1,250,32,non-bug,23,9
1,0,139,non-bug,82,57
1,121,2,non-bug,1,1
3,0,9,non-bug,6,3
1,633,17,non-bug,10,7
1,630,80,non-bug,79,1
1,122,17,non-bug,16,1
1,122,17,non-bug,16,1
1,0,26,non-bug,13,13
1,2457,37,non-bug,18,19
1,554,8,non-bug,6,2
1,2395,1,non-bug,1,0
2,107,122,non-bug,122,0
5,814,437,non-bug,221,216
1,650,18,non-bug,13,5
1,0,281,non-bug,144,137
4,27,1170,non-bug,535,635
4,27,1170,non-bug,535,635
4,225,8,non-bug,4,4
1,2428,2,non-bug,1,1
5,225,23,non-bug,21,2
3,225,20,non-bug,19,1
41,107,9785,bug,9785,0
1,0,4,non-bug,2,2
1,0,23,non-bug,20,3
1,0,2,non-bug,1,1
1,748,5,non-bug,4,1
