num_of_files,total_lines,mod_lines,label,insertions,deletions
1,310,310,None,310,0
1,310,310,None,310,0
3,125,204,None,200,4
3,125,204,None,200,4
8,362,1029,None,1029,0
8,362,1029,bug,1029,0
2,126,175,None,175,0
2,126,175,None,175,0
6,61,291,non-bug,266,25
6,61,291,non-bug,266,25
20,57,261,None,205,56
20,57,261,None,205,56
2,1756,565,None,533,32
2,1756,565,bug,533,32
2,277,299,None,299,0
2,277,299,None,299,0
3,35,109,None,104,5
1,99,99,None,99,0
2,35,10,None,5,5
5,52,281,None,274,7
5,52,281,None,274,7
4,192,304,None,304,0
4,192,304,bug,304,0
2,259,281,None,281,0
2,259,281,bug,281,0
1,367,5,None,0,5
8,46,483,None,432,51
8,46,483,bug,432,51
3,349,59,None,54,5
3,349,59,bug,54,5
3,245,573,None,573,0
3,245,573,bug,573,0
2,48,84,None,84,0
2,77,85,None,85,0
2,77,85,None,85,0
3,153,366,None,366,0
3,153,366,None,366,0
3,40,139,None,134,5
3,40,139,None,134,5
1,1356,2,None,1,1
1,1356,2,None,1,1
2,102,576,None,385,191
2,102,576,None,385,191
2,116,184,None,184,0
2,116,184,None,184,0
6,65,381,None,354,27
6,65,381,None,354,27
4,133,300,non-bug,277,23
4,133,300,non-bug,277,23
4,89,382,None,366,16
4,89,382,None,366,16
2,640,77,non-bug,12,0
2,640,77,None,12,0
9,383,684,None,684,0
9,383,684,bug,684,0
3,29,437,None,436,1
3,29,437,None,436,1
4,128,556,None,556,0
4,128,556,bug,556,0
4,136,470,None,470,0
4,136,470,None,470,0
5,189,366,non-bug,365,1
5,189,366,non-bug,365,1
2,577,622,None,45,0
2,577,622,None,45,0
4,96,297,None,297,0
4,96,297,None,297,0
3,189,435,None,435,0
3,189,435,None,435,0
4,117,491,None,484,7
4,117,491,bug,484,7
12,162,1087,None,918,27
12,162,1087,bug,918,27
6,123,578,None,578,0
6,123,578,None,578,0
8,60,2839,None,2837,2
2,1151,8,None,4,4
8,60,2839,None,2837,2
3,109,196,None,195,1
3,109,196,None,195,1
2,146,51,None,43,8
2,146,51,None,43,8
6,132,498,non-bug,490,8
6,132,498,non-bug,490,8
16,61,719,non-bug,708,11
16,61,719,non-bug,708,11
2,127,182,None,182,0
2,127,182,None,182,0
3,79,795,None,793,2
3,79,795,None,793,2
7,174,489,None,463,26
7,174,489,None,463,26
14,59,1066,None,1066,0
14,59,1066,None,1066,0
13,24,892,None,866,2
13,24,892,None,866,2
10,347,801,None,793,8
10,347,801,None,793,8
10,135,2025,None,2019,6
10,135,2025,bug,2019,6
3,53,126,None,125,1
8,44,1054,None,1054,0
8,44,1054,None,1054,0
1,87,2,None,1,1
3,53,126,None,125,1
1,0,2,None,1,1
1,0,2,None,1,1
1,0,1,None,1,0
1,0,3,None,3,0
1,0,9,None,8,1
1,0,3568,None,1,3567
1,0,2,None,1,1
455,17,103703,None,17,50097
1,0,29,None,29,0
1,432,2,None,1,1
1,432,2,None,1,1
3,122,148,None,73,56
2,85,190,None,142,48
3,291,170,non-bug,53,97
10,506,1644,non-bug,80,108
1,432,4,None,2,2
2,168,35,non-bug,16,4
2,1792,6,None,3,3
1,181,2,None,1,1
1,83,4,non-bug,1,3
3,122,148,None,73,56
2,1792,6,None,3,3
1,181,2,None,1,1
1,83,4,non-bug,1,3
3,0,169,None,0,0
3,0,169,None,0,0
2,85,190,None,142,48
1,9607,9,None,5,4
3,9606,284,None,27,7
3,9606,284,None,27,7
6,160,29,None,17,12
2,168,247,None,116,17
3,139,159,non-bug,67,51
3,139,159,non-bug,67,51
3,89,215,None,121,29
3,89,215,None,121,29
4,480,319,None,25,19
1,432,4,None,2,2
4,480,319,None,25,19
10,506,1644,None,80,108
4,1195,1881,None,1230,252
7,136,1172,None,600,78
1,0,0,None,0,0
4,1195,1881,None,1230,252
7,37,1172,None,600,78
2,0,558,None,0,0
2,0,558,None,0,0
2,168,247,None,116,17
2,136,75,non-bug,17,9
8,108,490,None,13,58
8,108,490,None,13,58
1,0,84,None,0,84
1,0,84,None,0,84
2,136,75,non-bug,17,9
2,168,35,non-bug,16,4
2,239,10,None,8,2
2,9609,34,non-bug,9,6
2,0,10,non-bug,0,0
1,0,4,None,0,0
1,9612,2,None,1,1
15,107,2905,None,432,1815
2,827,30,non-bug,4,2
2,827,30,non-bug,4,2
1,0,127,None,127,0
2,1792,76,None,39,28
1,57,6,non-bug,4,2
2,1792,20,None,11,0
1,1781,56,None,28,28
1,57,6,non-bug,4,2
9,107,2666,None,258,1783
7,76,1113,None,78,570
1,9606,6,None,4,2
3,107,1549,None,176,1213
1,1177,28,None,15,13
1,0,4,None,0,0
2,0,10,None,0,0
2,9574,34,non-bug,9,6
2,239,8,None,7,1
1,0,20,None,19,1
12,103,2251,None,933,984
12,103,2251,None,933,984
4,134,297,None,114,8
6,240,713,non-bug,376,67
1,117,59,None,46,13
3,1175,1547,None,1211,176
2,266,30,None,12,5
2,89,28,non-bug,1,1
1,215,36,None,30,6
7,239,137,None,50,87
3,291,170,non-bug,53,97
7,239,137,None,50,87
1,9534,3,None,3,0
1,9534,3,None,3,0
1,215,36,None,30,6
2,89,28,None,1,1
3,89,186,None,111,2
3,89,186,bug,111,2
1,0,3,non-bug,0,0
1,0,3,None,0,0
2,266,30,None,12,5
1,1175,28,None,13,15
3,1177,1549,None,1213,176
1,117,59,None,46,13
3,9511,100,None,9,66
1,501,34,None,0,0
3,9511,100,None,9,66
1,501,34,None,0,0
2,101,49,non-bug,21,5
2,82,60,non-bug,31,29
6,240,713,non-bug,376,67
1,9502,18,None,10,8
1,9502,18,None,10,8
2,82,60,non-bug,31,29
1,103,5,non-bug,4,1
1,103,5,non-bug,4,1
4,84,126,None,6,6
4,84,126,None,6,6
2,101,49,None,21,5
1,9500,6,None,2,4
4,134,297,bug,114,8
3,372,320,non-bug,59,36
7,136,1113,None,570,78
2,335,125,non-bug,20,7
7,136,1113,None,570,78
2,501,35,None,0,0
10,135,112,None,67,5
1,9440,20,None,19,1
5,499,273,non-bug,106,62
2,476,44,non-bug,0,0
11,472,183,non-bug,143,35
2,85,807,None,367,440
2,85,42,None,23,19
1,1781,666,None,293,373
1,1861,95,None,49,46
2,478,44,non-bug,0,0
5,100,2496,None,2040,1
5,100,2496,None,2040,1
1,191,96,None,53,43
1,0,19,None,19,0
2,130,137,None,27,17
2,130,137,None,27,17
1,0,55,None,0,0
2,141,38,None,4,34
2,1169,26,None,1,1
1,474,30,None,0,0
2,141,38,None,4,34
2,1169,20,None,1,1
2,462,9,non-bug,0,0
2,462,9,non-bug,0,0
2,125,154,non-bug,49,52
2,125,154,non-bug,49,52
2,372,265,non-bug,59,36
2,335,125,None,20,7
2,96,29,None,7,4
2,96,29,None,7,4
2,197,77,non-bug,26,2
2,100,29,None,7,4
2,197,77,non-bug,26,2
2,100,29,None,7,4
1,191,96,None,53,43
2,128,51,None,18,7
2,128,51,None,18,7
2,89,79,None,19,10
2,89,79,None,19,10
2,74,57,non-bug,4,13
2,74,57,non-bug,4,13
2,80,77,None,18,9
2,80,77,None,18,9
1,0,63,non-bug,0,0
1,0,63,None,0,0
3,191,93,non-bug,32,30
3,191,93,non-bug,32,30
2,445,172,non-bug,73,29
11,460,183,non-bug,143,35
2,487,35,None,0,0
2,445,172,non-bug,73,29
10,135,112,None,67,5
5,499,273,non-bug,106,62
1,9440,20,None,19,1
1,462,52,None,0,0
18,108,2247,None,1772,94
1,0,41,None,41,0
1,462,52,None,0,0
7,108,21,None,21,0
1,422,202,None,0,0
18,108,2226,None,1751,94
2,258,44,None,3,1
2,258,44,None,3,1
2,231,31,non-bug,1,1
2,231,31,None,1,1
2,430,63,None,13,3
2,430,63,None,13,3
1,9422,7,None,5,2
1,0,44,None,0,44
1,0,44,None,0,44
1,422,202,None,0,0
3,9419,393,None,246,0
1,0,2,None,1,1
1,0,14,None,5,9
2,179,298,non-bug,55,71
2,91,110,None,59,51
1,0,44,None,44,0
1,256,2,None,1,1
1,256,60,bug,20,40
2,91,110,non-bug,69,41
1,181,14,None,5,9
1,181,14,None,5,9
1,762,3,non-bug,2,1
1,762,3,non-bug,2,1
1,0,8,non-bug,4,4
1,0,8,non-bug,4,4
2,175,161,non-bug,0,0
1,0,44,None,44,0
2,175,89,non-bug,0,0
1,175,14,non-bug,0,0
1,0,58,None,0,0
1,761,16,non-bug,13,3
1,761,16,non-bug,13,3
2,179,298,non-bug,55,71
2,157,38,non-bug,7,31
3,237,104,None,26,18
3,135,1153,None,668,323
2,158,36,None,26,10
3,9416,393,None,246,0
2,269,69,None,21,7
1,269,9,None,8,1
6,87,467,None,220,64
7,143,654,None,261,9
2,262,60,None,13,6
4,60,193,None,61,1
4,60,193,None,61,1
4,39,347,None,218,1
4,39,347,None,218,1
2,157,38,non-bug,7,31
3,135,1153,non-bug,668,323
1,159,159,None,159,0
1,159,159,None,159,0
1,0,40,non-bug,0,0
1,0,40,non-bug,0,0
5,144,96,None,87,9
5,144,96,None,87,9
2,127,32,None,1,1
2,127,32,None,1,1
2,315,40,non-bug,1,1
2,315,40,non-bug,1,1
1,0,54,None,0,0
1,0,54,None,0,0
1,9317,26,None,17,9
6,87,467,None,220,64
2,231,68,non-bug,1,1
2,120,36,None,4,1
1,0,31,None,0,0
2,120,36,None,4,1
1,0,31,None,0,0
1,117,7,non-bug,3,4
1,117,7,non-bug,3,4
2,231,68,non-bug,1,1
1,110,5,non-bug,2,3
1,110,5,non-bug,2,3
7,143,654,None,261,9
1,173,3,non-bug,3,0
1,173,3,None,3,0
1,9317,26,None,17,9
1,231,7,non-bug,4,3
1,231,7,non-bug,4,3
1,0,14,None,5,9
1,0,2,None,1,1
1,0,21,None,21,0
2,23,8,None,4,4
3,107,14,None,1,13
1,0,76,non-bug,0,0
1,0,76,non-bug,0,0
3,107,14,None,1,13
12,0,86,None,0,0
4,66,26,None,6,8
2,23,8,None,4,4
4,66,26,None,6,8
1,0,8,non-bug,0,0
13,0,88,None,0,0
1,0,8,None,0,0
2,129,271,None,67,34
3,625,75,non-bug,24,15
2,129,271,None,67,34
3,625,75,non-bug,24,15
2,81,82,non-bug,1,1
2,81,82,non-bug,1,1
3,125,106,non-bug,35,18
2,185,24,non-bug,6,0
3,125,106,None,35,18
1,0,18,None,0,0
1,185,6,non-bug,6,0
2,340,29,non-bug,2,0
2,340,29,non-bug,2,0
1,9309,2,non-bug,1,1
1,9309,2,non-bug,1,1
1,9309,2,non-bug,1,1
1,9309,2,non-bug,1,1
4,0,303,non-bug,0,0
4,0,303,non-bug,0,0
1,0,2,None,1,1
1,0,1,None,1,0
1,0,2,None,1,1
1,0,3,non-bug,3,0
1,0,5,None,5,0
1,0,2,None,1,1
1,0,2,None,0,0
1,0,2,None,0,0
1,108,32,None,20,12
3,100,170,None,72,2
21,177,52,None,25,25
2,0,6,None,4,2
2,0,6,None,4,2
1,9311,6,None,4,2
2,237,98,None,22,16
2,232,4,non-bug,2,2
2,232,4,non-bug,2,2
1,0,2,non-bug,0,0
1,0,2,None,0,0
1,0,2,None,1,1
1,0,18,None,15,3
2,97,156,non-bug,43,9
7,178,297,None,214,79
2,100,14,None,9,5
2,97,156,non-bug,43,9
21,177,52,None,25,25
7,178,297,bug,214,79
2,94,8,bug,7,1
3,91,160,None,62,2
1,9309,3,None,3,0
3,95,124,None,40,1
2,382,45,non-bug,22,6
2,0,4,non-bug,0,0
2,155,80,None,37,31
2,382,45,non-bug,22,6
1,155,23,None,9,14
3,95,124,None,40,1
1,160,27,None,16,11
1,155,2,non-bug,1,1
2,155,66,None,30,24
2,0,4,non-bug,0,0
4,140,97,None,90,7
2,111,32,None,1,1
2,111,32,None,1,1
2,77,54,None,1,1
2,77,54,None,1,1
2,0,37,None,1,1
2,0,37,None,1,1
1,623,2,non-bug,1,1
4,140,97,None,90,7
3,168,59,None,34,25
1,0,44,None,44,0
4,93,438,None,139,1
2,165,163,None,98,65
3,138,366,None,123,16
3,138,366,None,123,16
2,165,163,None,98,65
1,9242,1,None,1,0
4,93,437,None,138,1
2,322,61,non-bug,3,2
1,786,39,None,16,23
3,322,100,non-bug,26,18
1,9217,4,None,3,1
1,0,2,None,1,1
1,0,12,None,0,12
1,0,8,None,4,4
2,181,17,non-bug,11,6
1,0,47,None,47,0
1,0,10,non-bug,5,5
2,9214,218,None,93,1
3,93,84,non-bug,17,4
9,146,167,None,54,113
1,130,21,None,19,2
3,93,84,None,17,4
1,87,2,None,1,1
1,87,2,None,1,1
1,152,5,non-bug,4,1
1,152,3,None,1,2
1,153,5,None,1,4
1,156,11,non-bug,9,2
1,0,3,None,0,3
1,0,1,None,1,0
1,0,2,None,1,1
1,0,2,None,1,1
1,0,2,None,1,1
1,0,2,None,1,1
1,0,3,None,1,2
2,9122,12,non-bug,3,0
2,9122,12,None,3,0
2,9119,30,None,12,5
1,168,8,None,5,3
1,0,2,non-bug,1,1
1,0,2,None,1,1
2,9204,218,None,93,1
1,0,3,None,2,1
1,0,4,None,2,2
2,195,7,None,6,1
2,9114,30,None,12,5
1,0,3,non-bug,2,1
1,0,3,None,2,1
2,0,8,non-bug,4,4
1,0,2,non-bug,1,1
1,0,6,non-bug,3,3
1,168,8,None,5,3
1,0,4,None,4,0
9,146,55,None,23,32
1,0,1,None,0,1
1,0,10,None,6,4
1,0,9,None,6,3
1,0,10,None,7,3
1,9107,15,None,7,8
1,190,36,bug,24,12
5,1121,10,None,5,5
9,146,164,None,51,113
1,0,11,None,7,4
1,0,9,None,9,0
3,0,25,None,25,0
3,0,25,None,25,0
1,0,146,None,146,0
1,264,4,None,0,0
1,264,4,None,0,0
2,339,56,non-bug,10,5
2,166,179,None,44,15
3,97,252,None,117,0
1,0,2,None,0,0
2,339,56,None,10,5
2,338,26,non-bug,1,1
2,334,30,non-bug,5,2
1,189,4,None,2,2
1,130,2,None,1,1
1,189,4,None,2,2
2,334,30,non-bug,5,2
2,338,26,non-bug,1,1
1,9088,11,None,5,6
5,240,641,non-bug,357,189
3,128,309,None,149,0
2,128,10,None,5,5
2,128,73,non-bug,11,9
3,97,32,None,11,11
7,89,723,None,721,2
4,89,80,non-bug,31,49
7,94,741,None,739,2
1,0,13,non-bug,0,0
1,130,2,non-bug,1,1
1,130,21,None,19,2
2,110,6,None,2,2
2,110,6,None,2,2
2,382,158,non-bug,43,38
2,0,18,non-bug,8,3
2,110,6,None,2,2
7,195,299,None,150,97
2,110,6,bug,2,2
2,1130,54,None,1,1
2,1130,54,None,1,1
6,786,149,None,101,12
3,0,8,None,0,0
6,786,149,None,101,12
3,0,8,None,0,0
1,0,49,None,0,0
3,0,186,None,0,0
2,166,166,None,44,15
2,0,18,non-bug,8,3
3,0,186,None,0,0
1,0,49,None,0,0
2,350,445,None,247,41
1,382,6,None,4,2
7,195,299,None,150,97
3,177,106,None,54,52
1,177,11,None,0,11
1,454,2,None,1,1
1,454,15,non-bug,1,14
1,9068,70,None,40,30
3,188,128,None,77,51
12,1130,1079,None,385,12
2,380,158,non-bug,42,39
2,156,70,None,9,1
2,156,70,None,9,1
2,148,40,None,5,0
2,148,40,None,5,0
2,795,43,None,10,1
2,795,43,None,10,1
3,67,223,None,114,18
13,135,22,non-bug,9,12
2,786,100,non-bug,43,36
13,135,22,None,9,12
4,97,218,non-bug,99,85
1,163,2,None,1,1
1,0,12,None,0,0
1,163,6,None,5,1
1,240,480,non-bug,240,240
2,350,445,None,247,41
2,134,74,non-bug,12,17
1,134,7,None,4,3
3,83,220,None,103,0
1,133,2,non-bug,1,1
2,786,100,non-bug,43,36
1,133,25,None,9,16
5,479,145,None,10,3
2,77,20,non-bug,3,2
1,0,4,non-bug,0,0
1,0,4,None,0,0
2,481,73,non-bug,12,12
1,0,67,non-bug,0,0
1,0,6,non-bug,0,0
1,0,63,None,0,0
2,481,73,non-bug,12,12
1,156,4,non-bug,3,1
2,159,16,None,6,3
1,156,4,non-bug,3,1
12,106,225,None,154,64
1,0,2,None,0,0
1,0,2,None,0,0
2,149,223,non-bug,1,1
4,1130,24,None,24,0
1,140,6,None,2,4
1,142,8,non-bug,4,4
2,142,70,non-bug,14,11
1,159,10,None,5,5
2,141,63,non-bug,10,8
13,1122,1057,non-bug,361,12
2,156,0,None,0,0
2,156,0,None,0,0
5,479,145,None,10,3
2,240,15,non-bug,6,7
4,67,224,None,115,18
2,127,31,None,2,0
3,266,122,non-bug,6,5
2,266,21,None,0,0
2,0,470,None,0,0
2,149,251,non-bug,1,1
2,159,4,None,1,1
1,0,4,non-bug,0,0
2,159,10,None,3,0
6,105,684,None,340,344
11,106,87,non-bug,66,14
7,779,150,None,94,56
1,0,20,non-bug,0,0
3,267,103,None,6,5
1,0,8,None,8,0
2,127,31,None,2,0
2,77,20,non-bug,3,2
2,377,32,None,21,9
2,377,32,None,21,9
1,81,2,None,1,1
2,66,22,non-bug,2,0
1,0,3,None,3,0
2,66,22,non-bug,2,0
2,126,46,non-bug,11,0
3,115,30,None,9,5
3,114,250,None,132,0
1,0,7,non-bug,0,0
1,241,7,non-bug,5,2
1,0,7,non-bug,0,0
1,81,2,None,1,1
2,421,153,non-bug,68,16
1,0,22,None,22,0
1,0,118,non-bug,0,0
1,421,9,None,3,6
1,137,17,None,9,8
1,0,118,non-bug,0,0
1,424,31,non-bug,17,14
2,111,22,non-bug,1,0
2,421,64,None,16,1
2,406,75,non-bug,45,8
2,369,49,non-bug,14,5
1,232,6,non-bug,6,0
2,171,72,non-bug,7,9
13,136,93,non-bug,51,26
4,80,62,non-bug,6,2
3,0,7,None,4,3
2,745,137,None,6,39
1,0,1,None,1,0
3,0,6,None,3,3
1,9065,6,None,3,3
2,111,22,non-bug,1,0
2,369,49,non-bug,14,5
1,232,6,None,6,0
2,745,137,None,6,39
2,81,97,None,97,0
2,105,8,None,3,5
2,81,97,None,97,0
1,135,23,non-bug,10,13
1,109,32,None,1,31
2,778,7,None,5,2
4,931,327,non-bug,97,6
2,171,72,non-bug,7,9
3,238,558,None,351,207
2,175,131,non-bug,28,10
1,135,23,non-bug,10,13
1,109,32,None,1,31
2,778,7,None,5,2
13,166,89,non-bug,50,23
1,623,245,None,148,97
2,572,1078,None,572,0
1,9049,22,None,12,10
4,931,327,non-bug,97,6
2,572,1078,None,572,0
5,0,1121,non-bug,0,0
3,173,179,None,111,8
1,777,51,non-bug,30,21
2,97,89,None,18,6
2,71,35,non-bug,3,1
2,80,27,None,3,1
5,0,1121,None,0,0
3,173,179,None,111,8
1,777,51,None,30,21
1,9004,4,None,4,0
1,97,4,non-bug,2,2
2,97,89,None,18,6
1,0,7,None,7,0
1,0,10,None,4,6
1,0,23,None,23,0
3,113,178,None,6,104
3,113,178,None,6,104
3,168,178,None,104,6
1,0,3,None,3,0
2,168,7,None,2,2
1,9000,12,None,7,5
1,9041,7,None,6,1
2,168,19,None,3,3
3,168,177,None,99,6
3,157,463,None,200,1
2,338,125,non-bug,8,3
1,280,280,None,280,0
2,338,125,non-bug,8,3
1,280,12,None,12,0
1,268,268,None,268,0
1,8998,6,None,5,1
3,157,457,None,195,0
2,41,92,None,92,0
2,173,34,non-bug,15,2
2,41,92,None,92,0
1,0,20,None,15,5
4,62,117,None,53,16
2,173,34,non-bug,15,2
2,180,46,non-bug,0,0
1,0,5,None,5,0
3,360,119,non-bug,12,15
2,180,46,non-bug,0,0
1,157,2,non-bug,1,1
2,157,32,None,16,10
1,8994,146,non-bug,12,134
3,151,595,None,322,11
1,0,2,None,0,0
3,360,119,non-bug,12,15
3,168,177,None,99,6
1,158,97,None,20,77
2,62,80,None,69,11
3,768,144,non-bug,13,6
1,157,20,None,10,10
1,0,63,None,0,0
3,157,89,None,40,4
1,768,5,None,4,1
1,0,79,None,0,0
2,765,60,non-bug,9,5
1,0,454,None,454,0
3,267,10,None,0,6
1,0,4,None,4,0
1,0,6,None,6,0
3,761,48,non-bug,8,6
1,306,2,non-bug,1,1
3,761,48,non-bug,8,6
1,840,2,non-bug,1,1
3,8956,120,non-bug,10,68
3,8956,120,non-bug,10,68
1,149,12,None,0,12
1,147,12,None,0,12
1,0,4,None,4,0
1,0,11,None,11,0
1,840,2,non-bug,1,1
11,23,51,None,42,9
4,23,20,None,16,4
5,58,14,None,8,6
4,267,82,None,54,3
1,476,8,None,5,3
1,474,47,None,24,23
1,105,6,None,3,3
1,191,4,None,2,2
2,242,49,None,7,6
1,161,34,None,18,16
7,106,27,None,0,27
1,9014,231,None,0,231
1,9245,6,None,3,3
1,9245,8,None,4,4
1,9245,2,None,1,1
1,9245,6,None,3,3
1,9245,6,None,3,3
1,9245,20,None,10,10
1,9245,10,None,5,5
1,0,2,None,1,1
1,0,18,None,11,7
1,0,1,None,0,1
1,54,20,None,20,0
2,117,47,non-bug,8,8
3,160,118,None,84,3
3,444,375,None,373,2
1,535,192,None,191,1
2,444,183,None,182,1
3,160,118,None,84,3
1,54,20,None,20,0
1,231,9,non-bug,6,3
1,231,9,non-bug,6,3
2,117,47,non-bug,8,8
1,170,10,None,4,6
2,761,76,non-bug,7,2
2,761,24,non-bug,7,2
1,0,52,non-bug,0,0
6,228,1448,non-bug,74,23
2,228,82,non-bug,34,5
1,199,58,non-bug,40,18
5,0,1308,None,0,0
1,170,10,None,4,6
2,0,1312,None,0,1312
1,0,18,None,9,9
1,0,12,None,12,0
2,217,38,non-bug,12,4
2,217,38,non-bug,12,4
2,9178,71,non-bug,15,6
2,9178,71,non-bug,15,6
1,0,21,None,20,1
1,0,27,None,27,0
2,331,30,non-bug,3,1
2,331,30,non-bug,3,1
12,840,420,None,199,178
12,840,378,non-bug,185,150
1,463,42,None,14,28
3,477,109,None,0,109
1,9169,2,non-bug,1,1
1,0,2,non-bug,1,1
1,0,2,non-bug,1,1
2,477,55,None,0,55
1,434,54,None,0,54
10,176,61,None,45,3
1,156,13,non-bug,8,5
1,156,13,non-bug,8,5
1,0,6,None,6,0
10,176,61,None,45,3
1,58,11,None,9,2
1,51,22,None,22,0
1,171,30,None,0,0
1,171,30,None,0,0
2,9169,101,None,0,99
1,0,12,None,12,0
3,117,43,None,10,2
1,117,8,None,6,2
2,336,35,non-bug,4,0
2,105,64,None,58,6
3,9268,71,None,0,46
2,105,64,None,58,6
2,9215,101,None,0,99
3,9268,71,None,0,46
2,9314,122,None,4,112
2,9314,122,None,4,112
4,365,629,None,373,14
4,365,629,None,373,14
4,214,43,None,8,32
2,9428,16,None,2,4
2,9428,16,None,2,4
4,214,43,None,8,32
1,0,2,non-bug,0,0
3,9430,110,None,3,3
1,0,44,None,0,0
1,0,2,None,0,0
4,113,93,None,22,0
2,0,71,None,0,0
2,113,22,None,22,0
1,0,8,None,8,0
2,195,14,None,2,0
2,0,67,None,0,0
2,0,67,None,0,0
2,195,14,None,2,0
2,104,22,None,22,0
6,139,170,None,11,4
6,139,170,None,11,4
2,104,22,None,22,0
1,0,6,None,6,0
2,0,451,None,0,0
2,0,451,None,0,0
3,9430,66,None,3,3
33,68,109,None,52,15
33,68,109,None,52,15
3,149,598,None,102,168
1,0,328,None,0,0
2,149,270,non-bug,102,168
18,129,364,None,135,75
18,129,364,None,135,75
2,116,17,non-bug,3,3
27,75,51,None,0,14
27,75,51,None,0,14
2,116,17,non-bug,3,3
1,209,24,None,23,1
1,209,24,None,23,1
2,65,16,None,15,1
1,0,16,None,16,0
25,139,84,None,55,21
1,9428,4,non-bug,2,2
2,188,34,non-bug,18,16
25,139,84,None,55,21
2,51,87,None,51,0
1,120,18,None,15,3
1,120,18,non-bug,15,3
2,51,87,None,51,0
9,834,303,None,86,5
9,834,303,non-bug,86,5
5,176,84,None,5,52
2,176,27,non-bug,0,0
1,187,8,None,3,5
2,187,49,non-bug,2,47
1,9427,56,None,28,28
1,9427,56,non-bug,28,28
1,139,17,non-bug,7,10
7,96,702,None,269,243
1,0,8,non-bug,0,0
1,0,8,non-bug,0,0
7,96,702,non-bug,269,243
1,139,11,None,2,9
1,146,6,non-bug,5,1
1,9407,30,None,18,12
1,9401,4,None,4,0
1,0,2,None,1,1
1,0,0,None,0,0
1,0,0,None,0,0
1,0,137,None,137,0
1,0,4,None,2,2
1,0,162,None,0,162
1,0,162,None,0,162
2,0,70,None,18,10
2,241,142,None,34,38
5,356,1484,None,259,453
2,241,84,None,20,21
2,242,68,None,18,21
2,0,70,None,18,10
5,356,1757,None,316,632
3,328,619,None,304,182
2,755,127,non-bug,12,5
1,755,8,bug,7,1
1,749,3,None,0,3
2,752,118,non-bug,6,2
2,9486,117,None,52,8
3,65,20,None,8,0
1,0,57,None,0,0
1,9486,60,None,52,8
3,65,20,None,8,0
1,0,17,None,17,0
3,9442,415,None,0,187
3,9442,415,None,0,187
7,63,395,None,88,125
1,191,6,None,5,1
2,187,265,non-bug,77,103
1,63,19,non-bug,1,18
2,9488,52,non-bug,5,3
2,748,61,non-bug,1,1
1,0,54,None,0,0
3,245,69,None,18,4
1,0,3,non-bug,1,2
1,0,3,None,1,2
2,0,25,non-bug,1,1
1,9486,2,None,1,1
2,0,25,non-bug,1,1
1,9486,2,None,1,1
1,0,47,None,0,0
1,245,20,bug,17,3
1,226,2,None,1,1
1,0,51,None,5,46
1,0,8,None,1,7
1,0,2,non-bug,1,1
10,80,182,non-bug,74,5
1,0,13,None,13,0
1,80,3,None,2,1
6,102,146,None,57,3
1,94,13,None,13,0
1,146,2,None,1,1
2,308,18,non-bug,1,0
1,0,2,None,1,1
1,0,4,None,2,2
1,0,2,non-bug,1,1
1,0,2,non-bug,1,1
2,0,48,None,30,18
1,0,2,None,1,1
1,0,5,None,5,0
1,0,2,None,1,1
1,0,26,None,26,0
3,146,240,non-bug,69,21
3,146,240,non-bug,69,21
3,9486,273,None,0,153
3,9486,273,None,0,153
1,0,4,None,3,1
1,0,1,None,0,1
1,0,1,None,0,1
1,0,6,None,6,0
1,0,1,None,0,1
14,0,703,None,9,694
14,0,703,None,9,694
470,119,13698,None,0,8564
1,255,37,None,19,18
1,35,12,None,12,0
1,0,4,None,4,0
2,88,47,None,3,0
2,88,47,None,3,0
2,254,375,None,172,72
2,254,375,None,172,72
4,77,199,None,159,34
1,0,7,None,7,0
4,77,199,None,159,34
28,133,1433,None,10,1093
10,217,140,None,2,2
18,133,1293,None,8,1091
2,597,97,non-bug,14,35
2,597,97,non-bug,14,35
1,10454,37,None,0,37
1,10491,29,None,15,14
99,815,4223,None,2086,2095
98,815,4166,None,2062,2062
2,0,57,None,24,33
1,0,266,None,266,0
629,119,27516,None,17,21589
1,0,2,None,1,1
1,0,2,None,1,1
1,0,2,None,1,1
2,10490,24,None,2,0
1,10488,14,None,14,0
1,10488,14,None,14,0
3,65,121,None,59,12
1,10104,2,None,2,0
2,10407,24,None,2,0
3,0,130,None,126,4
1,10439,40,None,37,3
1,0,5,None,1,4
3,0,133,None,129,4
1,10439,40,None,37,3
1,0,11,None,7,4
2,0,20,None,10,10
2,0,20,None,10,10
9,0,175,None,175,0
1,10405,32,None,16,16
2,0,64,None,64,0
1,0,91,non-bug,50,41
1,10405,6,None,3,3
1,10405,4,None,2,2
1,10405,2,None,1,1
1,0,11,None,7,4
1,0,91,non-bug,50,41
2,0,46,non-bug,40,6
1,10405,32,None,16,16
1,10405,19,None,14,5
2,0,30,None,30,0
9,0,175,None,175,0
6,46,494,None,79,20
6,46,494,None,79,20
1,10380,13,None,9,4
3,47,185,None,62,0
3,65,119,None,57,12
3,47,185,None,62,0
12,0,291,None,112,91
2,0,14,None,7,5
2,0,14,None,7,5
12,0,291,None,112,91
1,10360,74,None,37,37
1,0,16,None,16,0
1,0,2,None,1,1
1,0,2,None,1,1
4,79,330,None,97,0
78,89,1106,None,332,42
1,10070,5,None,3,2
2,323,99,None,44,32
2,323,99,non-bug,44,32
1,75,2,None,2,0
1,75,2,None,2,0
1,10069,33,None,33,0
