num_of_files,total_lines,mod_lines,label,insertions,deletions
2,1006,72,non-bug,0,0
1,0,2,non-bug,1,1
1,13791,18,None,10,8
3,59,326,None,1,1
1,0,32,None,32,0
1,3165,6,None,2,4
3,289,53,non-bug,7,4
3,0,166,None,32,20
3,1188,809,None,258,289
1,397,4,non-bug,2,2
3,1188,809,non-bug,258,289
2,0,39,None,2,0
1,0,5,None,1,4
2,4168,10,None,8,2
1,0,2,non-bug,1,1
2,13789,8,None,4,4
2,13789,4,non-bug,2,2
1,0,2,None,1,1
10,0,122,None,0,0
2,13789,62,non-bug,34,28
1,302,29,None,9,20
1,0,63,None,0,0
22,172,507,non-bug,302,197
1,0,4,None,0,0
2,13801,74,None,37,37
2,13801,71,None,71,0
1,33,1,None,0,1
1,142,16,non-bug,11,5
3,525,189,None,6,2
1,27,4,non-bug,1,3
2,362,13,non-bug,7,6
1,0,2,None,1,1
1,0,13,None,13,0
1,13763,55,non-bug,47,8
4,1174,50,non-bug,10,0
1,0,39,None,39,0
4,564,117,non-bug,12,23
8,303,28,None,20,8
5,216,282,non-bug,150,3
2,0,57,non-bug,0,0
4,137,267,non-bug,64,4
1,3167,2,non-bug,1,1
1,3167,5,None,2,3
2,13724,68,non-bug,26,42
1,114,7,non-bug,2,5
1,89,7,non-bug,2,5
1,3168,2,non-bug,1,1
1,0,1,None,1,0
3,160,98,None,47,4
1,16235,2,None,1,1
35,445,346,None,36,27
1,201,2,non-bug,1,1
2,72,89,None,2,1
9,210,114,None,48,8
4,128,12,bug,6,6
1,978,2,non-bug,0,0
1,13732,22,None,13,9
7,48,56,non-bug,28,28
15,127,389,non-bug,170,40
1,4164,3,non-bug,2,1
1,0,2,None,1,1
1,187,2,None,1,1
1,0,73,None,73,0
9,0,480,None,0,0
1,16235,6,non-bug,3,3
22,444,625,None,116,149
1,13728,16,None,8,8
1,0,28,None,28,0
26,172,864,None,190,24
1,3168,2,None,1,1
3,95,248,non-bug,117,1
1,3147,2,non-bug,1,1
4,3147,19,None,10,9
2,128,2,None,1,1
4,383,60,non-bug,15,0
10,204,56,None,24,24
4,511,151,None,18,20
2,73,39,None,2,0
2,397,9,non-bug,5,4
1,250,6,None,0,6
1,0,4,non-bug,2,2
6,81,18,non-bug,5,5
1,30,4,None,1,3
35,75,274,None,187,87
3,458,76,non-bug,4,1
2,13730,24,None,3,0
2,95,86,non-bug,4,1
2,122,4,non-bug,2,2
1,0,39,None,37,2
7,134,41,non-bug,5,6
1,0,5,None,0,0
2,748,58,non-bug,1,1
1,397,12,non-bug,6,6
2,481,150,non-bug,82,20
40,1212,502,None,223,279
2,397,214,None,196,18
1,0,6,non-bug,5,1
2,476,4,non-bug,2,2
1,0,7,None,7,0
11,897,2174,None,1037,1
2,476,230,non-bug,115,30
4,750,248,non-bug,27,15
19,195,965,None,245,30
14,199,544,None,529,15
6,391,32,non-bug,18,14
1,778,2,non-bug,1,1
2,0,381,None,0,0
9,36,153,None,83,47
28,33,147,None,101,46
1,123,2,None,1,1
11,362,604,None,78,2
4,586,177,non-bug,21,11
4,13727,12,non-bug,2,2
10,445,1388,non-bug,252,12
20,122,631,None,327,227
6,1064,346,bug,39,2
1,748,4,non-bug,2,2
11,183,828,None,486,316
11,139,38,non-bug,19,19
49,87,3399,bug,2033,1366
6,352,152,bug,9,7
3,352,173,None,95,0
2,77,12,None,2,0
1,0,2,non-bug,1,1
1,0,43,None,43,0
1,0,1,None,0,0
4,979,721,None,187,0
1,41,6,None,4,2
5,205,16,bug,7,7
8,1169,238,non-bug,104,38
3,775,57,None,0,0
3,3135,56,non-bug,28,28
4,690,98,non-bug,26,10
1,16207,103,None,61,42
1,571,5,None,5,0
6,778,625,non-bug,318,54
24,423,1963,None,214,838
2,296,62,non-bug,18,7
1,0,5,None,2,3
3,0,75,non-bug,6,2
2,119,181,None,181,0
315,50,2436,None,1401,455
4,740,40,non-bug,4,0
8,120,342,non-bug,100,67
1,44,5,None,4,1
8,192,308,non-bug,9,6
1,0,59,None,59,0
3,101,257,None,127,0
3,242,646,non-bug,154,20
3,0,217,non-bug,0,0
16,1163,128,None,64,64
154,1324,702,None,120,3
1,486,486,None,486,0
2,0,4,non-bug,0,0
1,2039,2,None,0,2
2,0,42,non-bug,0,0
2,1279,327,None,89,89
14,320,148,None,67,81
2,0,9,non-bug,5,2
1,0,2,None,1,1
1,0,20,None,10,10
1,0,2,None,0,0
6,964,112,non-bug,13,14
1,0,11,None,11,0
2,1279,31,non-bug,4,4
7,152,59,None,28,13
2,71,43,None,38,5
1,0,12,None,11,1
1,0,3,None,3,0
55,389,131,non-bug,112,0
24,181,481,None,304,108
10,3108,143,None,30,15
1,0,1,None,1,0
3,1187,186,None,104,32
12,58,293,None,131,24
14,30,89,None,77,12
12,86,886,None,323,32
1,0,58,None,58,0
23,1138,956,None,176,15
7,206,330,non-bug,133,40
1,0,4,None,0,0
1,0,2,non-bug,1,1
1,0,23,None,23,0
26,702,2565,None,563,259
23,112,5080,non-bug,3786,0
4,317,196,None,66,10
3,750,166,non-bug,0,0
17,130,699,None,54,40
3,13502,24,None,14,10
1,13503,4,non-bug,2,2
6,13503,453,None,151,2
7,580,145,non-bug,3,3
3,405,55,non-bug,0,19
1,0,2,None,1,1
1379,110,2762,None,720,720
287,110,574,None,83,83
1,0,36,non-bug,18,18
1,0,134,None,133,1
4,0,93,non-bug,16,21
4,78,204,None,96,0
5,3099,96,None,12,8
10,387,34,None,34,0
